gene_id,ref_gene_name_x,Chromosome,Start,End,C9,I9,C11,I11,C16,I16
MSTRG.10033,,chr14,65372783,65411696,0.039564,0.033337,0.01308,0.008707,0.010387,0.010093
MSTRG.10034,Adgra3,chr14,64686677,64994485,9.539953,11.911747,6.964844,8.619984,6.344215,8.025346
MSTRG.10035,Kcnip4,chr14,65549362,66749181,0.138515,0.087885,0.055859,0.026701,0.216143,0.106983
MSTRG.10036,,chr14,65549984,65693508,0.007309,0.005845,0.001816,0.001915,0,0.00089
MSTRG.10037,,chr14,65694374,65700890,0.011718,0,0,0.002476,0,0
MSTRG.10038,,chr14,65701741,65716080,0.003092,0.004353,0.000784,0,0,0
MSTRG.10039,,chr14,65735403,65750702,0.010043,0.019789,0.012653,0.002659,0.01304,0.024465
MSTRG.1004,Fbxo46,chr1,80028873,80045666,8.017534,9.06849,6.933699,8.018803,4.913784,5.322776
MSTRG.10040,,chr14,65852609,65864847,0.037406,0.037223,0.016595,0.004594,0.003672,0.013097
MSTRG.10041,,chr14,65913290,65991308,0.034187,0.020804,0.013869,0.004282,0.000527,0.005284
MSTRG.10042,,chr14,66028718,66050791,0.032513,0.023529,0.021466,0.014675,0.017616,0.007608
MSTRG.10043,,chr14,66065027,66177305,0.023506,0.016875,0.012006,0.008396,0.012002,0.01538
MSTRG.10044,,chr14,66177894,66182725,0.152887,0.020594,0.005077,0,0.000644,0
MSTRG.10045,,chr14,66183167,66193238,0.07236,0.015809,0.020282,0.007387,0.066454,0.011205
MSTRG.10046,LOC103693057,chr14,66222565,66224755,0,0.124864,0.048817,0,0,0.126316
MSTRG.10047,,chr14,66269665,66378897,0.000762,0.016423,0.009477,0.009048,0.029822,0.001183
MSTRG.10048,LOC103693056,chr14,66328774,66333866,0.008891,0.037596,0.00527,0,0,0.012161
MSTRG.10049,,chr14,66389242,66389551,0,0.032181,0,0,0,0.010171
MSTRG.1005,Qpctl,chr1,80046975,80057022,32.843062,40.409711,29.669208,30.36337,27.624761,28.73719
MSTRG.10050,Pacrgl,chr14,66749801,66771762,2.766138,3.31436,3.219744,3.786477,1.834494,1.834778
MSTRG.10051,,chr14,67246605,67315750,0,0,0,0,0,0
MSTRG.10052,,chr14,68107133,68131948,0,0,0,0,0,0
MSTRG.10053,,chr14,68796327,68876625,0,0,0,0,0,0
MSTRG.10054,,chr14,68929502,68945403,0,0,0,0,0,0
MSTRG.10055,LOC102550650,chr14,69504979,69507076,0,0.005737,0.011697,0.014272,0.026462,0.03743
MSTRG.10056,Slit2,chr14,66831848,67171491,2.22202,2.237727,1.764859,2.423676,4.04023,5.667432
MSTRG.10057,Mir3565,chr14,66923083,66923196,0,0,0,0,0,0
MSTRG.10058,Mir218+AC0-1,chr14,66923083,66923196,0,0,0,0,0,0
MSTRG.10059,LOC102551890,chr14,69945097,69948321,0,0.030934,0,0.009795,0,0.026073
MSTRG.1006,Snrpd2,chr1,80057140,80059990,106.773888,134.234848,132.676514,137.161072,85.770958,82.941399
MSTRG.10060,Fam184b,chr14,69970034,70086018,0.128025,0.155501,0.108478,0.102908,0.117758,0.24599
MSTRG.10061,Clrn2,chr14,70150983,70160624,0,0,0,0,0,0
MSTRG.10062,Med28,chr14,70089225,70098021,21.338692,21.021605,22.773649,23.304831,14.257343,12.577387
MSTRG.10063,LOC103693066,chr14,70098056,70107785,0.14841,0.213387,0.113209,0.062231,0.308789,0.109127
MSTRG.10064,Lap3,chr14,70102813,70121797,55.484924,58.82975,53.724796,56.144714,47.153141,48.505604
MSTRG.10065,Qdpr,chr14,70164682,70178284,52.90295,59.244606,67.772713,64.897156,69.897301,66.952179
MSTRG.10066,Lcorl,chr14,69765356,69898749,12.236941,12.658469,8.90422,9.963115,13.799423,12.50461
MSTRG.10067,Ncapg,chr14,69898268,69927885,0.87348,0.569539,0.395091,0.757541,1.320923,0.878014
MSTRG.10068,LOC108352763,chr14,70561049,70575236,0,0,0,0,0,0
MSTRG.10069,,chr14,71149315,71168273,0,0,0,0,0,0
MSTRG.1007,Foxa3,chr1,79921292,79930219,5.139148,5.018215,5.261338,7.257639,6.892378,6.856437
MSTRG.10070,,chr14,71350253,71356049,0,0,0,0,0,0
MSTRG.10071,LOC102552900,chr14,71375609,71380944,0.203772,0.219691,0.046981,0.15718,0.143236,0.171779
MSTRG.10072,Ldb2,chr14,70780605,71112857,0.56098,0.541037,0.590427,0.897746,0.522502,1.075205
MSTRG.10073,Tapt1,chr14,71416153,71462646,6.375683,7.112604,5.295569,5.705228,6.535358,6.446532
MSTRG.10074,,chr14,71709236,71710786,0,0,0,0,0,0
MSTRG.10075,Fgfbp1,chr14,71647429,71650359,0,0,0.057299,0,0,0
MSTRG.10076,Bst1,chr14,71798218,71814540,0.255786,0.053178,0.305308,0.565753,0.185211,0
MSTRG.10077,Cd38,chr14,71714768,71754990,0.905984,0.933997,0.304425,0.94719,0.864918,0.758536
MSTRG.10078,LOC108352765,chr14,71845211,71848828,0.050619,0.14434,0.17219,0,0.04721,0.202108
MSTRG.10079,Fbxl5,chr14,71852649,71891143,19.489072,21.227463,17.999612,19.182799,21.689347,24.546859
MSTRG.1008,Sympk,chr1,79930408,79959461,18.11018,25.234484,23.442927,25.682032,24.28927,25.228768
MSTRG.10080,Prom1,chr14,71532267,71637400,4.742859,5.637197,3.937536,4.124195,9.196849,9.576683
MSTRG.10081,,chr14,72259385,72260245,5.456695,6.810905,5.400671,5.767787,4.932078,4.813116
MSTRG.10082,C1qtnf7,chr14,72011518,72122257,0.757551,1.110775,0.698992,0.73591,0.265557,0.929337
MSTRG.10083,Cc2d2a,chr14,71895128,71979452,2.950671,3.356319,2.521677,2.498229,2.769717,3.130247
MSTRG.10084,LOC103693081,chr14,72467886,72474931,0,0,0,0,0,0.049127
MSTRG.10085,Cpeb2,chr14,72327848,72382519,7.448602,8.544941,6.443384,6.614906,9.918042,11.607067
MSTRG.10086,LOC108352766,chr14,72707776,72713246,0,0,0,0,0,0.070412
MSTRG.10087,LOC103693082,chr14,72833874,72872672,0.051972,0,0,0,0,0
MSTRG.10088,,chr14,73380984,73383477,0,0,0,0,0,0
MSTRG.10089,LOC108352767,chr14,73139000,73172373,0,0,0,0,0.013405,0
MSTRG.1009,Rsph6a,chr1,79959555,79979217,0.067856,0,0,0.018984,0.083879,0
MSTRG.10090,Rab5al1,chr14,72889022,72961841,22.046644,21.621689,17.6172,22.115887,20.287489,21.275933
MSTRG.10091,RGD1565560,chr14,72897601,72898138,0,0,0,0.041938,0,0
MSTRG.10092,Pp2d1,chr14,72948241,72970335,13.312958,13.636361,12.826544,13.871748,11.464889,12.16505
MSTRG.10093,Nkx3+AC0-2,chr14,73813531,73818489,0,0.05959,0.017764,0.11988,0.055767,0.092733
MSTRG.10094,LOC102550431,chr14,73823550,73831588,0,0,0,0,0,0
MSTRG.10095,LOC108352768,chr14,73733834,73737963,0.846528,0.903917,1.822414,1.196759,1.227958,1.110125
MSTRG.10096,Bod1l1,chr14,73738137,73792935,12.444789,13.423131,9.266565,11.275301,8.949766,10.344888
MSTRG.10097,LOC102550787,chr14,74330290,74343234,0,0,0.028286,0,0,0.119568
MSTRG.10098,Rab28,chr14,73888968,73963209,45.178038,47.238658,48.39927,48.444822,42.251392,44.244157
MSTRG.10099,Hs3st1,chr14,75880410,75881346,1.183753,1.106738,0.589369,1.441416,1.506956,1.921509
MSTRG.101,LOC102552999,chr1,11842235,11858591,0.15363,0.287584,0.066302,0.177631,0.03572,0.057355
MSTRG.1010,LOC108349062,chr1,79972899,79981277,0,0,0,0,0,0.096427
MSTRG.10100,LOC102547538,chr14,76083466,76103535,0.040038,0,0,0,0,0
MSTRG.10101,LOC108352769,chr14,76280324,76284182,0,0,0,0,0,0
MSTRG.10102,LOC102547760,chr14,76198113,76274413,0,0,0,0,0,0
MSTRG.10103,LOC103693085,chr14,76244773,76249696,0,0,0,0,0,0
MSTRG.10104,,chr14,74396183,74540114,17.854077,18.776388,12.539542,13.556688,35.959635,35.882457
MSTRG.10105,,chr14,74462131,74488915,3.156988,2.74356,1.125665,1.750608,6.962177,5.72429
MSTRG.10106,,chr14,76552672,76588671,0,0,0,0,0,0
MSTRG.10107,,chr14,76462598,76488370,0,0,0,0,0,0
MSTRG.10108,Clnk,chr14,76657165,76834050,0,0,0,0,0,0
MSTRG.10109,LOC108352770,chr14,76733092,76740105,0,0,0,0,0.005719,0
MSTRG.1011,Dmwd,chr1,79981270,79987997,11.578681,15.957619,14.068345,14.821434,12.315716,13.603988
MSTRG.10110,Zfp518b,chr14,76853171,76872476,1.86263,1.834603,1.355843,1.827876,1.928723,2.096924
MSTRG.10111,LOC108352771,chr14,76981334,76989731,0.654199,0.865002,1.109254,0.562223,0.813426,0.772707
MSTRG.10112,Wdr1,chr14,76989811,77023773,52.164314,59.262436,61.242652,65.003189,62.673191,65.117722
MSTRG.10113,,chr14,77220579,77222006,0,0,0,0,0,0
MSTRG.10114,Otop1,chr14,77236278,77263729,0,0,0,0,0,0
MSTRG.10115,Slc2a9,chr14,77067537,77192702,1.556128,1.739574,1.658663,1.927503,1.570791,1.514345
MSTRG.10116,Tmem128,chr14,77270794,77279979,36.745491,35.99363,37.063986,40.719839,27.478629,25.035036
MSTRG.10117,Lyar,chr14,77308207,77322985,9.110794,9.824203,8.969553,11.101269,11.248946,12.524365
MSTRG.10118,Zbtb49,chr14,77322014,77343736,4.387225,4.942545,4.03344,4.647438,4.819676,4.551317
MSTRG.10119,Nsg1,chr14,77379179,77402007,12.993525,13.305323,19.970367,18.970277,27.759491,27.238798
MSTRG.1012,Dmpk,chr1,79988096,79999496,18.454112,23.864551,22.928058,24.572272,22.071861,29.202435
MSTRG.10120,,chr14,77639182,77643013,0,0,0,0,0,0
MSTRG.10121,,chr14,77651949,77668598,0,0,0,0,0,0
MSTRG.10122,Stx18,chr14,77402952,77492910,47.414232,52.109712,50.973843,55.157566,44.425592,43.962216
MSTRG.10123,Msx1,chr14,77712262,77716061,0.523934,0.680226,0.523078,1.196557,1.789222,1.587025
MSTRG.10124,Cytl1,chr14,77805137,77810147,0,0,0,0,0,0
MSTRG.10125,Stk32b,chr14,77837073,78098731,0.044212,0.087574,0.069757,0.164224,0.272232,0.356913
MSTRG.10126,LOC102553032,chr14,78071113,78072939,0.18007,0.119036,0.102505,0.181944,0.110039,0.239443
MSTRG.10127,Evc2,chr14,78128620,78212394,0.509501,0.498234,0.49835,0.700511,0.668682,0.592728
MSTRG.10128,LOC102553293,chr14,78131027,78131936,0.171864,0,0.083326,0.11183,0.243826,0
MSTRG.10129,Evc,chr14,78213601,78253266,0.85894,1.352689,1.034138,1.357466,1.478023,2.258535
MSTRG.1013,Gipr,chr1,80063047,80073223,61.893804,72.938405,80.822859,87.406084,101.496217,150.826561
MSTRG.10130,Crmp1,chr14,78266931,78312777,20.579286,27.400416,25.9613,25.365667,31.692872,31.2368
MSTRG.10131,Wfs1,chr14,78640707,78665224,70.658012,99.697784,70.445038,71.825706,79.113708,78.100502
MSTRG.10132,Ppp2r2c,chr14,78672024,78763175,35.807474,53.449391,31.247804,37.039671,35.829996,38.762491
MSTRG.10133,LOC100911029,chr14,78814725,78828790,15.336867,18.05599,17.350143,17.072609,19.905355,19.82345
MSTRG.10134,LOC108352775,chr14,78915989,78918886,0.076802,0,0,0,0,0
MSTRG.10135,LOC103693768,chr14,78843424,78902270,13.047468,19.172698,11.17365,11.684963,17.725834,19.313924
MSTRG.10136,Mrfap1,chr14,78973384,78975161,432.45575,470.603607,428.356079,433.713745,372.459656,387.546112
MSTRG.10137,Man2b2,chr14,78939959,78964961,37.561962,53.355354,49.328522,49.118271,41.963051,43.594341
MSTRG.10138,Jakmip1,chr14,78319682,78523108,0,0.013447,0,0.004965,0,0.01553
MSTRG.10139,Bloc1s4,chr14,79013808,79015108,13.9003,15.618203,17.02467,17.679081,13.77002,13.164261
MSTRG.1014,Ppm1n,chr1,80190293,80193221,3.215366,4.061414,3.217241,2.532417,1.406202,1.499635
MSTRG.10140,,chr14,79089672,79123214,5.942729,0,0,0,13.479078,0
MSTRG.10141,LOC103693769,chr14,79019659,79025711,0.120709,0.175275,0.09242,0.171677,0.187769,0.15888
MSTRG.10142,Ccdc96,chr14,79443151,79445591,0.333784,0.375358,0.327576,0.59937,0.252957,0.543788
MSTRG.10143,Tbc1d14,chr14,79172272,79438765,43.319106,51.518374,37.063128,36.30679,43.020233,46.590106
MSTRG.10144,LOC680039,chr14,79261052,79325916,13.931623,14.979932,9.922375,12.78229,15.972143,14.644345
MSTRG.10145,Tada2b,chr14,79446057,79457341,16.71177,26.566656,20.8735,21.354689,20.020242,21.884922
MSTRG.10146,Grpel1,chr14,79458951,79464782,76.428475,84.073482,87.646561,82.411215,58.453283,61.794313
MSTRG.10147,Sorcs2,chr14,79538911,79912333,7.146044,9.515563,8.956678,9.83374,19.717794,21.20804
MSTRG.10148,Psapl1,chr14,79711694,79714254,0,0,0,0,0.026314,0.049249
MSTRG.10149,,chr14,79919652,79923266,2.21983,2.478973,2.467088,3.292028,2.957821,2.993171
MSTRG.1015,Gpr4,chr1,80125639,80136786,1.195199,1.732369,3.171188,4.161475,2.624267,3.527402
MSTRG.10150,Afap1,chr14,79923132,80035096,1.651858,1.976254,0.854418,1.59678,1.697232,1.908002
MSTRG.10151,Htra3,chr14,80248140,80276534,6.638551,9.079317,10.280437,15.001174,7.246499,10.389553
MSTRG.10152,Sh3tc1,chr14,80184814,80229207,1.714469,2.818495,1.471788,1.796288,0.642392,0.527295
MSTRG.10153,Ablim2,chr14,80044217,80169491,3.330215,4.552609,3.079797,3.940224,5.959596,4.29471
MSTRG.10154,LOC108352777,chr14,80074814,80078424,0.049489,0.108347,0,0.061911,0.246308,0.084839
MSTRG.10155,Cpz,chr14,80402946,80426203,1.603419,2.806931,2.203787,2.159952,2.08802,1.925539
MSTRG.10156,Acox3,chr14,80313202,80358115,6.46489,7.769247,6.837906,9.720642,3.881226,4.082801
MSTRG.10157,Trmt44,chr14,80361490,80379408,3.79426,4.31247,3.816553,4.285945,2.06656,2.639489
MSTRG.10158,LOC100912062,chr14,80606934,80625386,0.229455,0.338726,0.121046,0.232319,0.231677,0.315697
MSTRG.10159,Hmx1,chr14,80540558,80544607,0.982219,1.289236,1.054309,0.759143,1.789307,1.562534
MSTRG.1016,Eml2,chr1,80087023,80120547,15.099832,19.053363,17.219296,16.393049,11.072443,11.425949
MSTRG.10160,LOC108352778,chr14,80544745,80584397,0,0,0,0.033701,0,0
MSTRG.10161,LOC103690128,chr14,80678919,80682296,0.464095,0.293928,0.467681,0.807467,0.440516,0.49958
MSTRG.10162,Adra2c,chr14,80730307,80732010,0,0,0,0,0.059323,0.143718
MSTRG.10163,,chr14,80829656,80900741,0,0,0,0,0,0
MSTRG.10164,Lrpap1,chr14,80911197,80925320,37.815386,43.250754,40.223161,39.412218,28.416978,29.846488
MSTRG.10165,Dok7,chr14,80925409,80963454,0.038517,0.057083,0.053241,0.018111,0.038169,0.041039
MSTRG.10166,Hgfac,chr14,80966902,80973525,66.399562,81.97229,76.720599,76.102672,44.577545,45.494295
MSTRG.10167,Rgs12,chr14,80975239,81069519,1.246544,1.199668,1.147997,1.147219,1.879755,2.457971
MSTRG.10168,LOC108352834,chr14,81069084,81069557,0,0,0,0,0,0
MSTRG.10169,Mfsd10,chr14,81362594,81366208,58.422146,70.087392,54.562717,56.525604,41.98304,42.846094
MSTRG.1017,Rtn2,chr1,80195378,80208449,30.269487,40.143216,32.307467,32.770014,37.973833,38.66813
MSTRG.10170,LOC102556834,chr14,81085060,81091585,0,0,0.037504,0.021568,0.092384,0.063452
MSTRG.10171,Htt,chr14,81091675,81254637,7.06158,8.419287,5.893566,7.031062,7.525793,7.011441
MSTRG.10172,Grk4,chr14,81261708,81339516,1.934873,1.649767,1.219535,1.361143,1.719476,2.482446
MSTRG.10173,Nop14,chr14,81340141,81361277,14.47412,15.339172,17.217785,19.136473,16.438396,16.417974
MSTRG.10174,Fam193a,chr14,81515897,81638919,5.780252,8.406411,6.698601,8.079265,9.065684,9.071817
MSTRG.10175,Tnip2,chr14,81487934,81505889,6.009079,6.62448,6.672374,7.484597,4.213674,4.27322
MSTRG.10176,Add1,chr14,81367466,81426610,66.533735,91.88506,75.745281,77.852461,67.545856,76.941867
MSTRG.10177,Sh3bp2,chr14,81435445,81473013,1.908126,0.82174,1.589552,1.807358,0.704247,1.109347
MSTRG.10178,Rnf4,chr14,81658400,81679756,52.44139,57.828578,51.317534,54.016062,52.093142,56.173214
MSTRG.10179,Cfap99,chr14,81685428,81725165,0.09063,0.025955,0.033419,0.03003,0,0.024724
MSTRG.1018,LOC108349753,chr1,80237800,80246457,0,0,0,0,0,0
MSTRG.10180,LOC103693090,chr14,81687564,81690432,0.271284,0.219364,0.091085,0.46056,0,0.117496
MSTRG.10181,Zfyve28,chr14,81725513,81811142,0.076089,0.183572,0.023628,0.088847,0,0.043732
MSTRG.10182,Mxd4,chr14,81819415,81833456,46.569213,56.728048,40.881618,42.656382,43.195986,46.024453
MSTRG.10183,LOC108352782,chr14,81822943,81826648,4.432481,4.54853,2.233084,2.91873,2.546327,3.916236
MSTRG.10184,Nat8l,chr14,82041616,82048251,0.208656,0.250087,0.295682,0.231752,0.175789,0.180977
MSTRG.10185,Haus3,chr14,81837764,82037999,2.010479,2.341047,1.768357,2.299912,1.743292,1.937784
MSTRG.10186,LOC103690085,chr14,81897727,81909622,1.747563,2.450515,1.92812,2.421593,2.250364,2.596934
MSTRG.10187,Letm1,chr14,82227790,82269993,32.809238,42.908366,32.291269,34.428505,22.652493,22.162314
MSTRG.10188,RGD1560394,chr14,82053684,82055290,2.397598,1.748975,2.393134,1.843003,1.050574,1.550063
MSTRG.10189,Nelfa,chr14,82093837,82117913,27.619892,36.032055,35.743137,35.806297,31.337313,34.072014
MSTRG.1019,LOC108349552,chr1,80234147,80235497,0,0,0,0,0,0
MSTRG.10190,Whsc1,chr14,82119210,82196501,13.898821,17.134392,11.671421,13.504276,14.124193,17.253571
MSTRG.10191,Fgfr3,chr14,82271305,82287739,1.401479,1.631224,0.85172,1.604489,1.713621,2.206072
MSTRG.10192,Slbp,chr14,82356916,82366368,12.868741,13.526296,13.560315,14.956824,12.436641,13.543164
MSTRG.10193,Tacc3,chr14,82336283,82350069,2.830811,2.961649,2.753807,3.636589,1.610276,2.37493
MSTRG.10194,Tmem129,chr14,82350734,82356084,23.612267,27.00202,22.422018,25.730007,20.208656,20.389595
MSTRG.10195,Nkx1+AC0-1,chr14,82603538,82607031,0.033287,0,0,0,0,0
MSTRG.10196,Fam53a,chr14,82375086,82416004,6.544255,8.076832,7.596722,8.592449,6.483787,7.621679
MSTRG.10197,LOC688176,chr14,82380355,82381443,0,0,0,0,0.018309,0
MSTRG.10198,LOC102551278,chr14,82382182,82382739,0,0,0,0,0,0
MSTRG.10199,Maea,chr14,82664248,82697673,46.159016,56.127983,56.558392,60.817326,41.734573,44.421455
MSTRG.102,,chr1,11973399,11975114,2050.853699,883.849335,673.721222,585.533554,865.368927,1013.521759
MSTRG.1020,Opa3,chr1,80141630,80160145,10.757959,12.530079,11.055198,12.517931,12.658349,12.749404
MSTRG.10200,Uvssa,chr14,82621028,82658912,2.193745,2.306903,1.746531,2.492865,2.137636,2.641204
MSTRG.10201,Spon2,chr14,82815158,82824529,3.588223,2.675333,3.261859,3.280912,7.674923,8.650345
MSTRG.10202,Ctbp1,chr14,82761956,82789350,68.396748,88.066875,77.047828,83.605891,79.746643,81.592808
MSTRG.10203,LOC108352783,chr14,82827577,82845530,0,0,0,0,0,0
MSTRG.10204,LOC100910790,chr14,82863639,82889642,0.914882,1.043229,0.76069,0.711756,2.003232,2.03105
MSTRG.10205,Ywhah,chr14,83053041,83062424,64.411552,71.231407,80.194809,87.833885,86.91571,86.059151
MSTRG.10206,Slc5a1,chr14,82910448,82975303,0.334419,0.460533,0.28565,0.131691,0,0
MSTRG.10207,Depdc5,chr14,83089000,83219576,6.267073,7.891008,6.45499,7.021798,7.224717,7.118641
MSTRG.10208,Prr14l,chr14,83226543,83293823,7.4419,9.028233,5.783375,6.860801,8.957314,9.027013
MSTRG.10209,Patz1,chr14,83509763,83528898,5.340779,8.370597,7.196967,7.496323,6.40302,6.690949
MSTRG.1021,Fosb,chr1,80214691,80221417,0.714744,0.356495,0.409352,0.234789,0.306249,0.45349
MSTRG.10210,Pisd,chr14,83298630,83347697,18.181788,21.85489,17.119548,21.220557,16.605535,15.985139
MSTRG.10211,Sfi1,chr14,83341900,83412733,11.610661,15.996918,11.195936,13.029524,5.934964,5.584899
MSTRG.10212,Eif4enif1,chr14,83412843,83460634,4.313255,5.426412,4.292231,5.117008,4.807019,5.702005
MSTRG.10213,Drg1,chr14,83460540,83476568,33.266167,34.432716,35.703819,35.778149,27.427965,31.160885
MSTRG.10214,Rnf185,chr14,83648400,83685273,26.333441,34.492502,29.417624,32.554834,24.642926,23.730087
MSTRG.10215,LOC103693123,chr14,83689847,83705368,0,0,0,0,0,0
MSTRG.10216,Pla2g3,chr14,83724828,83730614,0.03156,0,0,0,0.116243,0.069568
MSTRG.10217,Pik3ip1,chr14,83559397,83572481,1.621461,2.323716,1.864495,2.035109,2.296998,2.528089
MSTRG.10218,Limk2,chr14,83564048,83641996,6.040329,7.2851,6.276828,6.721298,6.412962,8.059764
MSTRG.10219,Inpp5j,chr14,83730861,83742016,3.618668,5.603384,4.623508,4.549423,6.404261,7.035671
MSTRG.1022,LOC103691049,chr1,80216609,80217676,0.502224,0.253695,0.328885,0,0.13155,0.210925
MSTRG.10220,LOC108352784,chr14,83826530,83832165,0,0,0,0,0,0
MSTRG.10221,Selm,chr14,83744534,83754975,280.314514,319.69104,267.243591,266.86438,219.232315,213.108017
MSTRG.10222,Smtn,chr14,83755141,83776871,3.108204,3.869756,4.54464,6.383295,7.028633,7.969216
MSTRG.10223,Tug1,chr14,83878290,83887390,18.642033,22.162905,14.297975,16.067601,21.468383,23.93098
MSTRG.10224,Morc2,chr14,83889138,83930263,15.281313,19.69219,17.106068,18.136225,14.145989,16.090681
MSTRG.10225,,chr14,84136773,84137496,3.954471,3.82715,3.143461,4.44072,4.695096,3.776678
MSTRG.10226,Osbp2,chr14,83943975,84107031,0.886721,1.323655,0.973786,0.831571,3.204175,2.961851
MSTRG.10227,LOC108352785,chr14,84022542,84055194,0,0,0,0,0,0
MSTRG.10228,,chr14,84118092,84130337,0,0,0,0,0,0
MSTRG.10229,RGD1308775,chr14,84141964,84150607,0.175487,0.148394,0.105329,0.191925,0.097991,0.120195
MSTRG.1023,Opa3,chr1,80169049,80170772,0.219477,0.268591,0.098904,0.225063,0.371984,0.593561
MSTRG.10230,Dusp18,chr14,84150484,84169645,4.276798,4.937163,3.839298,4.782531,4.705635,5.906012
MSTRG.10231,Slc35e4,chr14,84163971,84170835,6.951691,7.764581,8.466088,7.732994,7.371559,8.367514
MSTRG.10232,Pes1,chr14,84211600,84227980,37.144791,42.639488,42.580772,47.828568,28.252205,28.65243
MSTRG.10233,Tcn2,chr14,84173992,84189299,88.559923,91.968506,67.413684,74.369477,67.61152,72.039746
MSTRG.10234,Gal3st1,chr14,84231473,84247371,6.768664,7.411512,5.402687,6.098502,5.328053,6.145542
MSTRG.10235,Mtfp1,chr14,84330223,84334063,6.843413,6.202448,8.070333,8.58035,4.745978,4.025518
MSTRG.10236,Sec14l3,chr14,84274546,84317241,0.328394,0.514759,0.409213,0.668992,0.416078,0.229778
MSTRG.10237,LOC103693135,chr14,84286052,84292643,0.295564,0.09203,0.601292,0.348096,0.687946,0.118758
